titre;publication;date;lu
La Main d’écorché;L’Almanach lorrain de Pont-à-Mousson;1875;true
Le Docteur Héraclius Gloss;La Revue de Paris;entre 1875 et 1877;true
Sur l’eau;Le Bulletin français;10 mars 1876;true
Le Donneur d’eau bénite;La Mosaïque;10 novembre 1877;true
Le mariage du lieutenant Laré;La Mosaïque;25 mai 1878;true
« Coco, Coco, Coco frais ! »;La Mosaïque;14 septembre 1878;true
Le Papa de Simon;La Réforme politique et littéraire;1er décembre 1879;true
Boule de suif;Les soirées de Médan;16 avril 1880;true
Les Dimanches d’un bourgeois de Paris;Le Gaulois;31 mai - 18 août 1880;true
Suicides;Le Gaulois;29 août 1880;true
Jadis;Le Gaulois;13 septembre 1880;true
Une page d’histoire inédite;Le Gaulois;27 octobre 1880;true
En famille;La Nouvelle Revue;15 février 1881;true
Opinion publique;Le Gaulois;21 mars 1881;true
Histoire d’une fille de ferme;La Revue politique et littéraire;26 mars 1881;true
Une partie de campagne;La Vie moderne;2 et 9 avril 1881;true
La Maison Tellier;La maison Tellier;mai 1881;true
Au printemps;La maison Tellier;mai 1881;true
La femme de Paul;La maison Tellier;mai 1881;true
Par un soir de printemps;Le Gaulois;7 mai 1881;true
Histoire d’un chien;Le Gaulois;2 juin 1881;true
Histoire corse;Le Gaulois;1er décembre 1881;true
Épaves;Le Gaulois;9 décembre 1881;true
Une aventure parisienne;Gil Blas;22 décembre 1881;true
Un réveillon;Gil Blas;5 janvier 1882;true
Pétition d’un viveur malgré lui;Gil Blas;12 janvier 1882;true
Le gâteau;Gil Blas;19 janvier 1882;true
La Bûche;Gil Blas;26 janvier 1882;true
Mots d’amour;Gil Blas;2 février 1882;true
Souvenir;Gil Blas;16 février 1882;true
Marroca;Gil Blas;2 mars 1882;true
Le Saut du berger;Gil Blas;9 mars 1882;true
Le lit;Gil Blas;16 mars 1882;true
Mademoiselle Fifi;Gil Blas;23 mars 1882;true
Vieux objets;Gil Blas;29 mars 1882;true
L’Aveugle;Le Gaulois;31 mars 1882;true
Magnétisme;Gil Blas;5 avril 1882;true
La Roche aux Guillemots;Le Gaulois;14 avril 1882;true
Un fils;Gil Blas;19 avril 1882;true
Conflits pour rire;Gil Blas;1er mai 1882;true
En voyage (Clair de lune);Gil Blas;10 mai 1882;true
Un bandit corse;Gil Blas;25 mai 1882;true
Rencontre;Le Gaulois;26 mai 1882;true
La Veillée;Gil Blas;7 juin 1882;true
Rêves;Le Gaulois;8 juin 1882;true
Autres temps;Gil Blas;14 juin 1882;true
Histoire vraie;Le Gaulois;18 juin 1882;true
Le Voleur;Gil Blas;21 juin 1882;true
Confession d’une femme;Gil Blas;28 juin 1882;true
Clair de lune (Le Père Milon);Le Gaulois;1er juillet 1882;true
Un coq chanta;Gil Blas;5 juillet 1882;true
L’Enfant;Le Gaulois;24 juillet 1882;true
Le Verrou;Gil Blas;25 juillet 1882;true
Un drame vrai;Le Gaulois;6 août 1882;true
Farce normande;Gil Blas;8 août 1882;true
Mon oncle Sosthène;Gil Blas;12 août 1882;true
Voyage de noce;Le Gaulois;18 août 1882;true
Une passion;Gil Blas;22 août 1882;true
Fou ?;Gil Blas;23 août 1882;true
Correspondance;Gil Blas;30 août 1882;true
Une veuve;Le Gaulois;1er septembre 1882;true
La Rouille;Gil Blas;14 septembre 1882;true
La Rempailleuse;Le Gaulois;17 septembre 1882;true
Un Parricide;Le Gaulois;25 septembre 1882;true
Une ruse;Gil Blas;25 septembre 1882;true
Un vieux;Gil Blas;26 septembre 1882;true
Pierrot;Le Gaulois;9 octobre 1882;true
Un normand;Gil Blas;10 octobre 1882;true
Le Pardon;Le Gaulois;16 octobre 1882;true
La Relique;Gil Blas;17 octobre 1882;true
Clair de lune (Clair de lune);Gil Blas;19 octobre 1882;true
La Peur;Le Gaulois;23 octobre 1882;true
Aux champs;Le Gaulois;31 octobre 1882;true
Un million;Gil Blas;2 novembre 1882;true
Le Testament;Gil Blas;7 novembre 1882;true
Le Loup;Le Gaulois;14 novembre 1882;true
Le Baiser;Gil Blas;14 novembre 1882;true
Menuet;Le Gaulois;20 novembre 1882;true
Ce cochon de Morin;Gil Blas;21 novembre 1882;true
Madame Baptiste;Gil Blas;28 novembre 1882;true
Ma Femme;Gil Blas;5 décembre 1882;true
La Bécasse;Le Gaulois;5 décembre 1882;true
La Folle;Le Gaulois;5 décembre 1882;true
Rouerie;Gil Blas;12 décembre 1882;true
La Légende du Mont Saint-Michel;Gil Blas;19 décembre 1882;true
Yveline Samoris;Le Gaulois;20 décembre 1882;true
Conte de Noël;Le Gaulois;25 décembre 1882;true
Nuit de Noël;Gil Blas;26 décembre 1882;true
Le Remplaçant;Gil Blas;2 janvier 1883;true
À cheval;Le Gaulois;14 janvier 1883;true
Les Sabots;Gil Blas;21 janvier 1883;true
M. Jocaste;Gil Blas;23 janvier 1883;true
La Toux;Panurge;28 janvier 1883;true
Auprès d’un mort;Gil Blas;30 janvier 1883;true
Deux Amis;Gil Blas;5 février 1883;true
En mer;Gil Blas;12 février 1883;true
Réveil;Gil Blas;20 février 1883;true
Le Père Judas;Le Gaulois;28 février 1883;true
L’Homme-fille;Gil Blas;13 mars 1883;true
Mademoiselle Cocotte;Gil Blas;20 mars 1883;true
Les Bijoux;Gil Blas;27 mars 1883;true
Saint-Antoine;Gil Blas;3 avril 1883;true
Apparition;Le Gaulois;4 avril 1883;true
Le Condamné à mort;Gil Blas;10 avril 1883;true
L’Aventure de Walter Schnaffs;Le Gaulois;11 avril 1883;true
La Reine Hortense;Gil Blas;24 avril 1883;true
En voyage (Miss Harriet);Le Gaulois;10 mai 1883;true
Une surprise;Gil Blas;15 mai 1883;true
Le Père Milon;Le Gaulois;22 mai 1883;true
Le Pain maudit;Gil Blas;29 mai 1883;true
L’Ami Joseph;Le Gaulois;3 juin 1883;true
La Mère aux monstres;Gil Blas;12 juin 1883;true
L’Orphelin;Le Gaulois;15 juin 1883;true
La Serre;Gil Blas;26 juin 1883;true
Denis;Le Gaulois;28 juin 1883;true
Lui ?;Gil Blas;3 juillet 1883;true
Miss Harriet;Le Gaulois;9 juillet 1883;true
La fenêtre;Gil Blas;10 juillet 1883;true
L’Âne;Le Gaulois;15 juillet 1883;true
Aux eaux;Le Gaulois;24 juillet 1883;true
Le Mal d’André;Gil Blas;24 juillet 1883;true
La Moustache;Gil Blas;31 juillet 1883;true
Tombouctou;Le Gaulois;2 août 1883;true
Mon oncle Jules;Le Gaulois;7 août 1883;true
Enragée ?;Gil Blas;7 août 1883;true
Un duel;Le Gaulois;14 août 1883;true
Les Caresses;Gil Blas;14 août 1883;true
Le Petit;Le Gaulois;19 août 1883;true
Le Cas de Mme Luneau;Gil Blas;21 août 1883;true
L’Ami patience;Gil Blas;4 septembre 1883;true
La Martine;Gil Blas;11 septembre 1883;true
L’Orient;Le Gaulois;13 septembre 1883;true
L’Enfant;Gil Blas;18 septembre 1883;true
Une Soirée (Le Colporteur / Boule de suif);Le Gaulois;21 septembre 1883;true
L’Odyssée d’une fille;Gil Blas;25 septembre 1883;true
Un coup d’état;Clair de lune;octobre 1883;true
Humble Drame;Gil Blas;2 octobre 1883;true
La Confession de Théodule Sabot;Gil Blas;9 octobre 1883;true
Une vendetta;Le Gaulois;14 octobre 1883;true
La Confession (Contes du jour et de la nuit);Le Gaulois;21 octobre 1883;true
Au bord du lit;Gil Blas;23 octobre 1883;true
Regret;Le Gaulois;4 novembre 1883;true
Le Vengeur;Gil Blas;6 novembre 1883;true
L’Attente;Le Gaulois;11 novembre 1883;true
Décoré !;Gil Blas;13 novembre 1883;true
Le Père;Gil Blas;20 novembre 1883;true
La Ficelle;Le Gaulois;25 novembre 1883;true
Un sage;Gil Blas;4 décembre 1883;true
Première neige;Le Gaulois;11 décembre 1883;true
Le Modèle;Le Gaulois;17 décembre 1883;true
La Farce;Gil Blas;18 décembre 1883;true
La Main;Le Gaulois;23 décembre 1883;true
Garçon, un Bock !...;Gil Blas;1er janvier 1884;true
Le Vieux;Le Gaulois;6 janvier 1884;true
Lettre trouvée sur un noyé;Gil Blas;8 janvier 1884;true
Le Baptême;Le Gaulois;14 janvier 1884;true
