"index","titre","publication","date","lu","annee"
1,"La Main d’écorché","L’Almanach lorrain de Pont-à-Mousson","1875",False,"1875"
2,"Le Docteur Héraclius Gloss","La Revue de Paris","entre 1875 et 1877",False,"1877"
3,"Sur l’eau","Le Bulletin français","10 mars 1876",True,"1876"
4,"Le Donneur d’eau bénite","La Mosaïque","10 novembre 1877",False,"1877"
5,"Le mariage du lieutenant Laré","La mosaïque","25 mai 1878",False,"1878"
6,"« Coco, Coco, Coco frais ! »","La mosaïque","14 septembre 1878",False,"1878"
7,"Le Papa de Simon","La Réforme politique et littéraire","1er décembre 1879",True,"1879"
8,"Boule de suif","Les soirées de Médan","16 avril 1880",True,"1880"
9,"Les Dimanches d’un bourgeois de Paris","Le Gaulois","31 mai - 18 août 1880",False,"1880"
10,"Suicides","Le Gaulois","29 août 1880",True,"1880"
11,"Jadis","Le Gaulois","13 septembre 1880",False,"1880"
12,"Une page d’histoire inédite","Le Gaulois","27 octobre 1880",False,"1880"
13,"En famille","La Nouvelle Revue","15 février 1881",True,"1881"
14,"Opinion publique","Le Gaulois","21 mars 1881",False,"1881"
15,"Histoire d’une fille de ferme","La Revue politique et littéraire","26 mars 1881",True,"1881"
16,"Une partie de campagne","La Vie moderne","2 et 9 avril 1881",True,"1881"
17,"La Maison Tellier","La maison Tellier","mai 1881",True,"1881"
18,"Au printemps","La maison Tellier","mai 1881",True,"1881"
19,"La femme de Paul","La maison Tellier","mai 1881",True,"1881"
20,"Par un soir de printemps","Le Gaulois","7 mai 1881",True,"1881"
21,"Histoire d’un chien","Le Gaulois","2 juin 1881",False,"1881"
22,"Histoire corse","Le Gaulois","1er décembre 1881",False,"1881"
23,"Épaves","Le Gaulois","9 décembre 1881",False,"1881"
24,"Une aventure parisienne","Gil Blas","22 décembre 1881",False,"1881"
25,"Un réveillon","Gil Blas","5 janvier 1882",False,"1882"
26,"Pétition d’un viveur malgré lui","Gil Blas","12 janvier 1882",False,"1882"
27,"Le gâteau","Gil Blas","19 janvier 1882",True,"1882"
28,"La Bûche","Gil Blas","26 janvier 1882",False,"1882"
29,"Mots d’amour","Gil Blas","2 février 1882",False,"1882"
30,"Souvenir","Gil Blas","16 février 1882",False,"1882"
31,"Marroca","Gil Blas","2 mars 1882",False,"1882"
32,"Le Saut du berger","Gil Blas","9 mars 1882",True,"1882"
33,"Le lit","Gil Blas","16 mars 1882",False,"1882"
34,"Mademoiselle Fifi","Gil Blas","23 mars 1882",False,"1882"
35,"Vieux objets","Gil Blas","29 mars 1882",True,"1882"
36,"L’Aveugle","Le Gaulois","31 mars 1882",True,"1882"
37,"Magnétisme","Gil Blas","5 avril 1882",True,"1882"
38,"La Roche aux Guillemots","Le Gaulois","14 avril 1882",True,"1882"
39,"Un fils","Gil Blas","19 avril 1882",True,"1882"
40,"Conflits pour rire","Gil Blas","1er mai 1882",False,"1882"
41,"En voyage (Clair de lune)","Gil Blas","10 mai 1882",False,"1882"
42,"Un bandit corse","Gil Blas","25 mai 1882",True,"1882"
43,"Rencontre","Le Gaulois","26 mai 1882",False,"1882"
44,"La Veillée","Gil Blas","7 juin 1882",True,"1882"
45,"Rêves","Le Gaulois","8 juin 1882",True,"1882"
46,"Autres temps","Gil Blas","14 juin 1882",False,"1882"
47,"Histoire vraie","Le Gaulois","18 juin 1882",True,"1882"
48,"Le Voleur","Gil Blas","21 juin 1882",False,"1882"
49,"Confession d’une femme","Gil Blas","28 juin 1882",True,"1882"
50,"Clair de lune (Le Père Milon)","Le Gaulois","1er juillet 1882",True,"1882"
51,"Un coq chanta","Gil Blas","5 juillet 1882",True,"1882"
52,"L’Enfant","Le Gaulois","24 juillet 1882",False,"1882"
53,"Le Verrou","Gil Blas","25 juillet 1882",True,"1882"
54,"Un drame vrai","Le Gaulois","6 août 1882",False,"1882"
55,"Farce normande","Gil Blas","8 août 1882",True,"1882"
56,"Mon oncle Sosthène","Gil Blas","12 août 1882",True,"1882"
57,"Voyage de noce","Le Gaulois","18 août 1882",False,"1882"
58,"Une passion","Gil Blas","22 août 1882",True,"1882"
59,"Fou ?","Gil Blas","23 août 1882",False,"1882"
60,"Correspondance","Gil Blas","30 août 1882",True,"1882"
61,"Une veuve","Le Gaulois","1er septembre 1882",False,"1882"
62,"La Rouille","Gil Blas","14 septembre 1882",False,"1882"
63,"La Rempailleuse","Le Gaulois","17 septembre 1882",True,"1882"
64,"Un Parricide","Le Gaulois","25 septembre 1882",True,"1882"
65,"Une ruse","Gil Blas","25 septembre 1882",False,"1882"
66,"Un vieux","Gil Blas","26 septembre 1882",False,"1882"
67,"Pierrot","Le Gaulois","9 octobre 1882",True,"1882"
68,"Un normand","Gil Blas","10 octobre 1882",True,"1882"
69,"Le Pardon","Le Gaulois","16 octobre 1882",False,"1882"
70,"La Relique","Gil Blas","17 octobre 1882",False,"1882"
71,"Clair de lune (Clair de lune)","Gil Blas","19 octobre 1882",False,"1882"
72,"La Peur","Le Gaulois","23 octobre 1882",False,"1882"
73,"Aux champs","Le Gaulois","31 octobre 1882",True,"1882"
74,"Un million","Gil Blas","2 novembre 1882",False,"1882"
75,"Le Testament","Gil Blas","7 novembre 1882",True,"1882"
76,"Le Loup","Le Gaulois","14 novembre 1882",True,"1882"
77,"Le Baiser","Gil Blas","14 novembre 1882",False,"1882"
78,"Menuet","Le Gaulois","20 novembre 1882",True,"1882"
79,"Ce cochon de Morin","Gil Blas","21 novembre 1882",True,"1882"
80,"Madame Baptiste","Gil Blas","28 novembre 1882",False,"1882"
81,"Ma Femme","Gil Blas","5 décembre 1882",False,"1882"
82,"La Bécasse","Le Gaulois","5 décembre 1882",True,"1882"
83,"La Folle","Le Gaulois","5 décembre 1882",True,"1882"
84,"Rouerie","Gil Blas","12 décembre 1882",True,"1882"
85,"La Légende du Mont Saint-Michel","Gil Blas","19 décembre 1882",True,"1882"
86,"Yveline Samoris","Le Gaulois","20 décembre 1882",True,"1882"
87,"Conte de Noël","Le Gaulois","25 décembre 1882",False,"1882"
88,"Nuit de Noël","Gil Blas","26 décembre 1882",False,"1882"
89,"Le Remplaçant","Gil Blas","2 janvier 1883",False,"1883"
90,"À cheval","Le Gaulois","14 janvier 1883",False,"1883"
91,"Les Sabots","Gil Blas","21 janvier 1883",True,"1883"
92,"M. Jocaste","Gil Blas","23 janvier 1883",False,"1883"
93,"La Toux","Panurge","28 janvier 1883",False,"1883"
94,"Auprès d’un mort","Gil Blas","30 janvier 1883",True,"1883"
95,"Deux Amis","Gil Blas","5 février 1883",False,"1883"
96,"En mer","Gil Blas","12 février 1883",True,"1883"
97,"Réveil","Gil Blas","20 février 1883",False,"1883"
98,"Le Père Judas","Le Gaulois","28 février 1883",False,"1883"
99,"L’Homme-fille","Gil Blas","13 mars 1883",True,"1883"
100,"Mademoiselle Cocotte","Gil Blas","20 mars 1883",False,"1883"
101,"Les Bijoux","Gil Blas","27 mars 1883",False,"1883"
102,"Saint-Antoine","Gil Blas","3 avril 1883",True,"1883"
103,"Apparition","Le Gaulois","4 avril 1883",True,"1883"
104,"Le Condamné à mort","Gil Blas","10 avril 1883",False,"1883"
105,"L’Aventure de Walter Schnaffs","Le Gaulois","11 avril 1883",True,"1883"
106,"La Reine Hortense","Gil Blas","24 avril 1883",False,"1883"
107,"En voyage (Miss Harriet)","Le Gaulois","10 mai 1883",True,"1883"
108,"Une surprise","Gil Blas","15 mai 1883",False,"1883"
109,"Le Père Milon","Le Gaulois","22 mai 1883",True,"1883"
110,"Le Pain maudit","Gil Blas","29 mai 1883",True,"1883"
111,"L’Ami Joseph","Le Gaulois","3 juin 1883",True,"1883"
112,"La Mère aux monstres","Gil Blas","12 juin 1883",True,"1883"
113,"L’Orphelin","Le Gaulois","15 juin 1883",False,"1883"
114,"La Serre","Gil Blas","26 juin 1883",True,"1883"
115,"Denis","Le Gaulois","28 juin 1883",True,"1883"
116,"Lui ?","Gil Blas","3 juillet 1883",True,"1883"
